Column1.id,Column1.bedrooms,Column1.price
c_7201176327,1,1950
c_7201178815,1,1950
c_7201181653,1,1950
c_7201520307,1,1950
c_7201927188,1,1950
c_7202149395,1,1950
c_7202339137,1,1950
c_7202538010,1,1950
c_7202742727,1,1950
c_7202787093,1,1950
c_7202815492,1,1950
c_7203679175,2,1950
c_7204171157,1,1950
c_7204491194,1,1950
c_7204750851,1,1950
c_7204988442,1,1950
c_7205043946,1,1950
c_7205044449,1,1950
c_7205230201,1,1950
c_7205358722,1,1950
c_7205371054,1,1950
c_7205442258,1,1950
c_7205544391,1,1950
c_7205738282,1,1950
c_7205862475,1,1950
c_7206061207,2,1950
c_7206416391,2,1950
c_7206619072,1,1950
c_7206624945,1,1950
c_7207109696,1,1950
c_7207669488,2,1950
c_7207903556,1,1950
c_7208059915,2,1950
c_7208568995,1,1950
c_7208683258,1,1950
c_7208815624,1,1950
c_7208949563,1,1950
c_7209575768,1,1950
c_7209585371,1,1950
c_7209586303,2,1950
c_7209589136,1,1950
c_7209616351,1,1950
c_7209728520,2,1950
c_7209795841,2,1950
c_7209861677,2,1950
c_7209925359,1,1950
c_7209928230,1,1950
c_7210084613,1,1950
c_7210178108,1,1950
c_7210471739,1,1950
c_7210768735,1,1950
c_7210788252,1,1950
c_7211115808,1,1950
c_7211463823,2,1950
c_7211532860,1,1950
c_7212360587,2,1950
c_7212550651,2,1950
c_7213176476,1,1950
c_7213309966,1,1950
c_7213893054,1,1950
c_7213963828,1,1950
c_7213969213,1,1950
c_7214024096,1,1950
c_7214198096,1,1950
c_7214202068,1,1950
c_7214320299,1,1950
c_7214567946,1,1950
c_7214570331,1,1950
c_7214671350,1,1950
c_7214684058,1,1950
c_7215205909,1,1950
c_7215509059,2,1950
c_7215802624,2,1950
c_7216030810,1,1950
c_7216268264,2,1950
c_7216593142,1,1950
c_7216674249,1,1950
c_7216703373,2,1950
c_7216732155,1,1950
c_7216735369,1,1950
c_7216920807,1,1950
c_7217040440,2,1950
c_7217043102,1,1950
c_7217177574,1,1950
c_7217336750,1,1950
c_7217419176,1,1950
c_7217422734,2,1950
c_7217683673,1,1950
c_7217859274,1,1950
c_7218436621,1,1950
c_7218458216,1,1950
c_7218482498,1,1950
c_7218506943,2,1950
c_7218517509,1,1950
c_7218680078,1,1950
c_7218765879,1,1950
c_7218948384,1,1950
c_7218964976,3,1950
c_7219053498,1,1950
c_7219115050,1,1950
c_7219291019,1,1950
c_7219540544,1,1950
c_7220010984,1,1950
c_7220210658,1,1950
c_7220576151,1,1950
c_7221188353,1,1950
c_7221740970,1,1950
c_7221756078,1,1950
c_7221997983,2,1950
c_7222043600,1,1950
c_7222085328,1,1950
c_7222155358,2,1950
c_7222156055,1,1950
c_7222750196,1,1950
c_7223227576,1,1950
c_7223256508,1,1950
c_7223449265,3,1950
c_7224053265,1,1950
c_7224213575,1,1950
c_7224269346,2,1950
c_7224370199,1,1950
c_7224405693,1,1950
c_7224939820,1,1950
c_7225062693,2,1950
c_7225142253,1,1950
k_1505793115,1,1950
k_1514120703,1,1950
k_1516187829,1,1950
k_1517528359,1,1950
k_1517756178,1,1950
k_1517760455,1,1950
k_1517762445,1,1950
k_1517796804,1,1950
k_1517799828,1,1950
k_1517819019,1,1950
k_1517822798,1,1950
k_1517823010,1,1950
k_1517834197,1,1950
k_1517839467,1,1950
k_1517840701,1,1950
