Column1.id,Column1.sqft,Column1.price
c_7197672366,657,2300
c_7198255567,1000,2300
c_7199558550,850,2300
c_7199803772,1000,2300
c_7201291770,750,2300
c_7201597632,850,2300
c_7201601506,750,2300
c_7201808953,775,2300
c_7202375314,750,2300
c_7202681746,650,2300
c_7202826399,622,2300
c_7203927854,940,2300
c_7204245046,618,2300
c_7204398426,1000,2300
c_7204499899,1000,2300
c_7204635034,617,2300
c_7205052094,800,2300
c_7205598402,800,2300
c_7205724667,560,2300
c_7205776527,671,2300
c_7206034749,800,2300
c_7206266965,550,2300
c_7206626243,1000,2300
c_7207636628,600,2300
c_7207831053,700,2300
c_7208024677,750,2300
c_7208039160,900,2300
c_7208550715,745,2300
c_7208649352,700,2300
c_7208757389,740,2300
c_7208865981,625,2300
c_7208977847,780,2300
c_7209340121,775,2300
c_7209467355,850,2300
c_7210278454,740,2300
c_7210398288,1200,2300
c_7213219622,1500,2300
c_7213339690,1000,2300
c_7213811491,1200,2300
c_7213816322,867,2300
c_7214008393,701,2300
c_7214020214,705,2300
c_7214025105,817,2300
c_7214298073,650,2300
c_7214618445,1000,2300
c_7214913466,640,2300
c_7214915515,1000,2300
c_7215808494,1600,2300
c_7215809701,1100,2300
c_7216287412,680,2300
c_7216323502,900,2300
c_7216688711,700,2300
c_7216951938,618,2300
c_7217049070,804,2300
c_7217250587,1000,2300
c_7217580110,1100,2300
